,projected_5yr_growth,implied_vol_quantile_25,implied_vol_quantile_50,implied_vol_quantile_75,implied_vol_quantile_85,implied_vol_quantile_90,implied_vol_max,implied_vol_stdev
FB,7.53%,0.4154111193847656,0.4858449853515625,0.5909006974792481,0.6313513427734376,0.8443374941406258,2.108403166503906,0.29215087219033314
AMZN,40.50%,0.3951228548622132,0.4869283485412598,0.5853084072113037,0.618955226501465,0.7663475513916017,3.8749392774963383,0.2765290180559663
AAPL,9.91%,0.31910623527526844,0.4040892111206055,0.57617611328125,0.6250037500000001,0.9083261120605468,32.60937990478516,1.988814612889804
NFLX,12.42%,0.5219774365234374,0.6147804635620118,0.8320024124145506,0.9359381406250001,1.4903895109558094,10.562503398437503,0.6773867857703008
GOOG,17.06%,0.34626374720573416,0.3882545611190796,0.4907544516372681,0.5304490314941408,0.711320330673218,12.299318719177247,0.5658543768634693
TSLA,39.73%,0.6457841055488587,0.7209347975158693,0.9230659548950196,1.0312548437500002,1.5546897265624997,33.226567308349615,1.744373578626019
WFC,7.29%,0.33795828063964845,0.38977661010742193,0.5139208764648437,0.5484420156250003,0.6875031250000001,2.0781298046874994,0.24375616764012473
V,18.14%,0.29132788757324213,0.35278967529296873,0.4854406314849854,0.5136767382812499,0.6907074386596683,7.067872258911134,0.406743489635609
CVX,17.78%,0.32085334915161134,0.375982802734375,0.5183153637695312,0.5625043750000001,0.7531274687500008,4.619144851074219,0.47458562707565205
ADBE,14.25%,0.3940452136611939,0.47604894073486326,0.5863078479003907,0.6270545107421877,0.7939473730468749,9.343021738739015,0.443344288421152
WDC,20.00%,0.4823049816894531,0.5117236328125,0.6333044482421876,0.6959014785156251,0.9171883281250001,4.049321344604492,0.3972339769275103
EBAY,9.73%,0.36133451171875,0.40650007568359375,0.5012256909179689,0.5300339965820314,0.6953155468750001,1.8691412792968751,0.23475974996146048
SNPS,19.60%,0.4010451131439209,0.46924358886718753,0.5942652268218994,0.6760774580078126,0.9096566651611329,3.804199708251953,0.4664673419886727
WDAY,14.05%,0.4348811395263672,0.5031787963867188,0.6210365045166016,0.6713655910644535,0.9355963471679689,26.890626596679688,1.5053820243419214
JNPR,13.86%,0.34860880889892576,0.4141904284667969,0.5616498913574219,0.6233436103515627,0.9783205292968751,1.90234423828125,0.3320737103179963
CRM,18.28%,0.38406988006591797,0.46158375335693363,0.5863078479003906,0.6375768664550782,0.8319352744140623,6.939942731323242,0.39793613363568725
VMW,6.87%,0.27776295974731446,0.49921155090332037,0.707408016281128,0.7627465131835938,1.0570359648437506,2.3828165429687496,0.37944843482820556
GILD,-1.35%,0.256843369140625,0.33399103515625,0.481450498046875,0.5312546875,0.65937840625,5.472659409179686,0.3417095095974325
TWTR,101.40%,0.5371140039062501,0.6210975390625001,0.7656273437500001,0.8074238007812502,1.0281298593750003,5.737795796508789,0.39285301214443374
NVDA,22.80%,0.45361874511718747,0.5633588586425782,0.8907481628417968,1.0032764680175779,1.448305981140138,25.5039082800293,1.0030258114098458
PANW,27.37%,0.4161549779129028,0.600414457321167,1.3157382846069332,1.408889674316406,3.251027263061524,7.247559534301758,1.3186489941572752
